BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food
110,10871.0,0.6074878116088677,1.0,4,43484,0,43484,26416.0,9531.0,Industrial & Storage,1567040.75,1,0,0,0,0,1,0,0,0,0,0
116,7493.333333333333,0.4804270462633452,1.0,3,22480,0,22480,10800.0,10800.0,Mixed Use,981009.125,1,0,0,0,0,0,1,0,0,0,0
91,8254.5,0.7024350354352171,1.0,4,33018,0,33018,23193.0,6165.0,Hospitality,4857581.5,0,0,1,0,1,0,0,0,0,0,0
46,13255.0,1.161825726141079,1.0,2,26510,0,26510,30800.0,0.0,Office,987063.6875,1,0,0,0,0,0,0,1,0,0,0
78,40028.0,0.8299690216848207,1.0,1,40028,0,40028,33222.0,10208.0,Industrial & Storage,942415.1875,1,0,0,0,0,1,0,0,0,0,0
9,14836.666666666666,0.5904740507751067,1.0,3,44510,18228,26282,26282.0,18228.0,Office,2188051.25,1,0,0,0,0,0,0,1,0,0,0
62,21624.0,1.0,1.0,1,21624,0,21624,21624.0,0.0,Public / Institutional,666687.5,0,1,0,0,0,0,0,0,0,1,0
46,42239.0,1.1553067070716636,1.0,1,42239,0,42239,48799.0,0.0,Education,2145603.5,0,1,0,0,0,0,0,0,0,0,0
91,17120.0,0.9934968847352025,1.0,3,51360,0,51360,51026.0,0.0,Education,1403094.75,1,0,0,0,0,0,0,0,0,0,0
23,7200.0,0.5370370370370371,0.0,3,21600,0,21600,11600.0,10000.0,Office,1539176.625,1,0,0,0,0,0,0,1,0,0,0
107,6873.333333333333,0.48787584869059164,1.0,3,20620,0,20620,10060.0,5280.0,Mixed Use,747456.875,0,1,0,0,0,0,1,0,0,0,0
106,8110.4,1.0,1.0,5,40552,0,40552,40552.0,0.0,Hospitality,1200180.875,0,0,1,0,1,0,0,0,0,0,0
107,10477.333333333334,0.7336154237719521,1.0,3,31432,0,31432,23059.0,7125.0,Office,1439572.375,1,0,0,0,0,0,0,1,0,0,0
16,30526.0,1.0,1.0,2,61052,0,61052,61052.0,0.0,Education,2366929.5,1,0,0,0,0,0,0,0,0,0,0
108,8621.333333333334,0.5167027528611197,1.0,3,25864,0,25864,13364.0,8420.0,Other,1028277.313,0,1,0,0,0,0,0,0,1,0,0
